"trial, Display Alphabet, Filter Name, subject Answer CPD"
"0, D, Ellip, 70"
"1, F, Ellip, 105"
"2, M, Bessel, 63"
"3, D, Ellip, 75"
"4, F, Ellip, 85"
"5, M, Bessel, 42"
"6, D, Bessel, 38"
"7, B, Ellip, 69"
"8, M, Ellip, 95"
"9, B, Ellip, 87"
"10, R, Ellip, 84"
"11, M, Ellip, 92"
"12, R, Bessel, 22"
"13, D, Ellip, 94"
"14, D, Bessel, 37"
"15, F, Ellip, 88"
"16, M, Ellip, 83"
"17, M, Bessel, 55"
"18, B, Bessel, 31"
"19, M, Ellip, 89"
"20, D, Ellip, 100"
"21, B, Ellip, 96"
"22, M, Ellip, 94"
"23, F, Bessel, 34"
"24, B, Bessel, 39"
"25, R, Bessel, 21"
"26, B, Bessel, 43"
"27, B, Ellip, 90"
"28, R, Ellip, 84"
"29, D, Ellip, 97"
"30, B, Ellip, 96"
"31, F, Bessel, 41"
"32, F, Ellip, 103"
"33, F, Ellip, 95"
"34, M, Bessel, 42"
"35, F, Ellip, 87"
"36, D, Bessel, 43"
"37, F, Ellip, 87"
"38, R, Ellip, 82"
"39, R, Bessel, 21"
"40, R, Ellip, 92"
"41, R, Ellip, 87"
"42, D, Bessel, 36"
"43, D, Bessel, 37"
"44, B, Ellip, 106"
"45, R, Ellip, 87"
"46, M, Ellip, 97"
"47, B, Ellip, 86"
"48, R, Bessel, 21"
"49, M, Ellip, 95"
"50, F, Bessel, 44"
"51, D, Ellip, 79"
"52, M, Bessel, 52"
"53, B, Bessel, 47"
"54, F, Bessel, 38"
"55, R, Bessel, 23"
"56, R, Ellip, 84"
"57, R, Bessel, 24"
"58, F, Ellip, 89"
"59, D, Bessel, 49"
"60, F, Bessel, 36"
"61, R, Bessel, 21"
"62, D, Bessel, 36"
"63, M, Bessel, 39"
"64, F, Bessel, 33"
"65, B, Bessel, 40"
"66, B, Ellip, 84"
"67, M, Bessel, 41"
"68, M, Bessel, 36"
"69, M, Bessel, 33"
"70, B, Ellip, 81"
"71, M, Ellip, 97"
"72, B, Ellip, 95"
"73, B, Bessel, 32"
"74, D, Ellip, 94"
"75, B, Bessel, 31"
"76, R, Bessel, 21"
"77, R, Bessel, 21"
"78, M, Ellip, 97"
"79, B, Bessel, 32"
"80, F, Ellip, 96"
"81, R, Ellip, 95"
"82, D, Bessel, 39"
"83, D, Ellip, 91"
"84, R, Ellip, 89"
"85, D, Ellip, 95"
"86, B, Bessel, 32"
"87, F, Bessel, 32"
"88, B, Bessel, 40"
"89, D, Ellip, 103"
"90, D, Bessel, 37"
"91, F, Ellip, 96"
"92, F, Bessel, 30"
"93, R, Bessel, 22"
"94, M, Bessel, 37"
"95, F, Bessel, 32"
"96, F, Bessel, 32"
"97, R, Ellip, 106"
"98, D, Bessel, 45"
"99, M, Ellip, 93"
