trial, Display Alphabet, Filter Name, subject Answer CPD
0, R, Ellip, 74
1, D, Ellip, 77
2, R, Bessel, 44
3, D, Bessel, 46
4, B, Bessel, 44
5, B, Ellip, 81
6, M, Bessel, 54
7, F, Ellip, 100
8, R, Ellip, 78
9, R, Bessel, 57
10, B, Ellip, 80
11, B, Bessel, 53
12, D, Ellip, 78
13, D, Bessel, 50
14, B, Ellip, 87
15, F, Ellip, 100
16, B, Ellip, 83
17, M, Ellip, 95
18, F, Bessel, 60
19, B, Bessel, 52
20, M, Bessel, 51
21, D, Bessel, 43
22, D, Bessel, 46
23, D, Ellip, 76
24, D, Ellip, 80
25, F, Bessel, 46
26, R, Ellip, 83
27, R, Bessel, 61
28, M, Bessel, 63
29, R, Ellip, 87
30, R, Ellip, 87
31, M, Bessel, 59
32, R, Ellip, 89
33, F, Ellip, 122
34, D, Ellip, 94
35, R, Ellip, 97
36, F, Ellip, 107
37, B, Bessel, 70
38, M, Bessel, 78
39, D, Ellip, 102
40, F, Bessel, 46
41, F, Ellip, 117
42, F, Ellip, 104
43, R, Ellip, 94
44, B, Bessel, 66
45, R, Bessel, 57
46, R, Bessel, 52
47, M, Ellip, 106
48, D, Bessel, 68
49, R, Bessel, 63
50, B, Ellip, 105
51, M, Bessel, 69
52, F, Bessel, 68
53, D, Ellip, 90
54, M, Bessel, 65
55, D, Bessel, 69
56, M, Ellip, 116
57, F, Ellip, 113
58, D, Bessel, 59
59, M, Ellip, 116
60, F, Bessel, 40
61, B, Ellip, 105
62, B, Bessel, 45
63, B, Bessel, 61
64, F, Bessel, 36
65, B, Ellip, 90
66, B, Ellip, 98
67, D, Bessel, 56
68, R, Bessel, 56
69, M, Ellip, 97
70, M, Ellip, 114
71, B, Ellip, 99
72, R, Ellip, 100
73, B, Ellip, 91
74, M, Ellip, 104
75, F, Ellip, 113
76, M, Bessel, 67
77, F, Bessel, 62
78, B, Bessel, 76
79, B, Bessel, 86
80, D, Bessel, 47
81, R, Bessel, 68
82, F, Ellip, 109
83, F, Ellip, 116
84, F, Bessel, 33
85, D, Ellip, 79
86, M, Ellip, 108
87, F, Bessel, 38
88, M, Ellip, 99
89, M, Ellip, 105
90, F, Bessel, 36
91, R, Ellip, 86
92, M, Bessel, 73
93, B, Bessel, 73
94, D, Bessel, 67
95, R, Bessel, 47
96, R, Bessel, 49
97, D, Ellip, 95
98, D, Ellip, 103
99, M, Bessel, 64
